ATU_Number,Title,Category,Subsection,Status,Exemplar_Tales,Sources,Notes
138-149,,Animal Tales,Wild Animals and Domestic Animals,unassigned,—,https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,"No entries in Missouri or Ashliman. Next active type after 137 in this section is ATU 150 'The Bird's Three Precepts', which begins the next subsection 'Wild Animals and Humans (150–199)' and is outside this output's range."
149,,Animal Tales,Wild Animals and Domestic Animals,unassigned,,https://libraryguides.missouri.edu/c.php?g=1083510,End of subsection transition; no active type assigned.
150,The Three Teachings of the Bird,Animal Tales,Wild Animals and Humans,active,The Three Proverbs (Poland); Of Hearing Good Counsel (Gesta Romanorum); Barlaam and Josaphat (Arabic version),https://sites.pitt.edu/~dash/type0150.html; https://library.oapen.org/bitstream/20.500.12657/101078/1/9789004729049_webready_content_text.pdf,Captured bird gains freedom by giving three pieces of advice (e.g. don't regret the past).
151,Music Lessons for Wild Animals,Animal Tales,Wild Animals and Humans,active,The Wonderful Musician (Grimm KHM 8); The Man and the Wolf (Norwegian),https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090; https://sites.pitt.edu/~dash/type0151.html,Man tricks wolf/bear into a trap by pretending to teach it to play a fiddle.
152,The Man as the Shepherd of the Wild Animals,Animal Tales,Wild Animals and Humans,active,The Fox as Herdsman (Asbjørnsen & Moe),https://libraryguides.missouri.edu/c.php?g=1083510,Man hires animal to guard flock; animal eats them. Related to type 37.
153,The Gelding of the Bear and the Fetching of the Honey,Animal Tales,Wild Animals and Humans,active,The Bear and the Honey (Russian/Finnish variants),https://libraryguides.missouri.edu/c.php?g=1083510,Trickster (often man) castrates bear or leads it into a trap under the guise of finding honey.
154,Bear-Food (Man Tells Bear of a Better Food),Animal Tales,Wild Animals and Humans,active,The Bear and the Man (Grimm variants),https://libraryguides.missouri.edu/c.php?g=1083510,"Man escapes bear by promising to show it ""better food"" (often involves a trap)."
155,Ingratitude Is the World's Reward,Animal Tales,Wild Animals and Humans,active,The Tiger the Brahmin and the Jackal (India); The Way of the World (Grimm),https://sites.pitt.edu/~dash/type0155.html,Rescued animal tries to eat its rescuer; judge (fox) tricks it back into the trap.
156,Androcles and the Lion,Animal Tales,Wild Animals and Humans,active,Androcles and the Lion (Aesop/Roman legend),https://en.wikipedia.org/wiki/Androcles; https://libraryguides.missouri.edu/c.php?g=1039894&p=7609090,Man pulls thorn from lion's paw; lion later spares him in the arena.
157,Learning to Fear Men,Animal Tales,Wild Animals and Humans,active,The Wolf and the Man (Grimm KHM 72); The Lion Searches for Man (La Fontaine),https://sites.pitt.edu/~dash/type0157.html,Animal seeks the strongest creature; man shoots it teaching it fear.
158,The Wild Animal on the Sleigh,Animal Tales,Wild Animals and Humans,active,The Wolf and the Cart (Finnish),https://libraryguides.missouri.edu/c.php?g=1083510,Animal boards man's sleigh and is eventually thrown off or trapped.
159,The Trusty Lion,Animal Tales,Wild Animals and Humans,active,The Lion and the Mouse (Aesop variants),https://libraryguides.missouri.edu/c.php?g=1083510,Focuses on the lion as a domestic protector or faithful companion.
160,Grateful Animals; Ungrateful Man,Animal Tales,Wild Animals and Humans,active,The Grateful Animals (Panchatantra),https://libraryguides.missouri.edu/c.php?g=1083510,Man rescues several animals and a human; only animals help him later.
161,The Bear and the Honey-Waggon,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Variant of honey-trap motifs.
162,The Bear and the Fisherman,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Man tricks bear while fishing.
163,The Wolf and the Shepherds,Animal Tales,Wild Animals and Humans,active,The Wolf and the Lamb (variants),https://libraryguides.missouri.edu/c.php?g=1083510,Shepherds outwit or catch the wolf.
164,The Priest's Wolf,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Wolf interacts with a clergyman (often comedic).
165,The Dog and the Wolf,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Conflict or partnership between a wild wolf and a domestic dog in a human context.
166,The Preparation of the Wolf for the Journey,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Comedic dressing or preparation of a wolf.
167,The Bear and the Bee-Hives,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Bear stung while raiding hives.
168,The Musician and the Wolf,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Musical interaction similar to 151.
169,The Man and the Bear in the Sleigh,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Variation of sleigh-boarding motifs.
170,The Wolf as the Man's Partner,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Wolf and man attempt to cooperate (usually failing).
171,The Three Bears,Animal Tales,Wild Animals and Humans,active,Goldilocks and the Three Bears (Southey/Jacobs),https://en.wikipedia.org/wiki/The_Three_Bears; https://www.artandpopularculture.com/Aarne-Thompson,Intruder tries beds/porridge of bears. Originally an old woman later Goldilocks.
172-174,,Animal Tales,Wild Animals and Humans,unassigned,,https://libraryguides.missouri.edu/c.php?g=1083510,Gaps in Uther 2004 index.
175,The Tarbaby and the Rabbit,Animal Tales,Wild Animals and Humans,active,The Tar-Baby (Joel Chandler Harris); The Rabbit and the Tar-Man (African),https://sites.pitt.edu/~dash/type1310.html,Trickster gets stuck to a sticky figure. Widespread in Africa and the Americas.
176,The Man and the Snake,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Moralistic interactions between a man and a serpent.
177,The Thief and the Tiger,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Tiger mistakes thief for a more dangerous creature.
179,The Bear and the Honey-Barrel,Animal Tales,Wild Animals and Humans,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Bear trapped by its head in a barrel.
180,The Giant and the Tailor,Animal Tales,Wild Animals and Humans,active,The Giant and the Tailor (Grimm KHM 183),https://libraryguides.missouri.edu/c.php?g=1083510,Small man outwits large beast/giant.
181-199,,Animal Tales,Wild Animals and Humans,unassigned,,https://libraryguides.missouri.edu/c.php?g=1083510,Residual gaps in the section.
200,The Certificate for the Dog and the Cat,Animal Tales,Domestic Animals,active,The Dog the Cat and the Mouse (various European),https://libraryguides.missouri.edu/c.php?g=1083510,Explains why dogs/cats are enemies (often a lost legal document).
201,The Dog's House,Animal Tales,Domestic Animals,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Dog decides to build house in winter (too cold) but forgets in summer.
202,The Two Dogs,Animal Tales,Domestic Animals,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Contrast between well-fed pet and hungry stray.
203,The Sheep the Duck and the Cock,Animal Tales,Domestic Animals,active,The Town Musicians of Bremen (Grimm variants),https://libraryguides.missouri.edu/c.php?g=1083510,Related to 130; animals seek a new life.
204,Sheep Duck and Cock in Peril at Sea,Animal Tales,Domestic Animals,active,The Traveling Animals (European),https://www.artandpopularculture.com/Aarne-Thompson,Animals take a boat trip; peril ensues.
205,The Cat and the Dog as Travelers,Animal Tales,Domestic Animals,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Similar to 204 but terrestrial.
206,The Animals Build a Road,Animal Tales,Domestic Animals,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Cooperative effort among farm animals.
207,The Ass and the Horse,Animal Tales,Domestic Animals,active,The Horse and the Ass (Aesop),https://libraryguides.missouri.edu/c.php?g=1083510,Horse refuses to help carry load until ass dies.
208,The Foolish Cat,Animal Tales,Domestic Animals,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Cat tricked by prey or another pet.
209,The Dog in the Manger,Animal Tales,Domestic Animals,active,The Dog in the Manger (Aesop),https://libraryguides.missouri.edu/c.php?g=1083510,Animal prevents others from eating what it cannot.
210,The Traveling Animals and the Wicked Man,Animal Tales,Domestic Animals,active,The Pack of Ragamuffins (Grimm KHM 10); Herr Korbes (Grimm KHM 41),https://sites.pitt.edu/~dash/type0210.html,Animals/objects hide in man's house and attack him when he returns.
211*,The Hog Who Was So Tired of His Daily Food,Animal Tales,Domestic Animals,active,,https://www.artandpopularculture.com/Aarne-Thompson,Complaining animal realizes status quo is better.
212,The Lying Goat,Animal Tales,Domestic Animals,active,The Wishing-Table (Grimm KHM 36 episode 1),https://sites.pitt.edu/~dash/type0212.html,Goat tells owner it hasn't eaten; sons are banished; owner finds out goat lied.
213,The Goat and the Wolf,Animal Tales,Domestic Animals,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Goat outwits wolf.
214,The Ass in the Lion's Skin,Animal Tales,Domestic Animals,active,The Ass in the Lion's Skin (Aesop),https://libraryguides.missouri.edu/c.php?g=1083510,Donkey scares others with skin until its voice/ears betray it.
215,The Dog and the Wolf as Partners,Animal Tales,Domestic Animals,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Domestic/Wild animal cooperation.
216,The Ass as the Partner of the Wolf,Animal Tales,Domestic Animals,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Wolf uses donkey as a dupe.
217,The Cat as the Servant of the Priest,Animal Tales,Domestic Animals,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Pet-cleric interaction.
218,The Wolf as the Dog's Guest,Animal Tales,Domestic Animals,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Wild animal visiting the farm.
219,,Animal Tales,Domestic Animals,unassigned,,https://libraryguides.missouri.edu/c.php?g=1083510,Gap.
220,The Council of the Birds,Animal Tales,Other Animals and Objects,active,The King of the Birds (Grimm KHM 171),https://libraryguides.missouri.edu/c.php?g=1083510,Birds decide to elect a king (often by flight height).
221,The Election of the King of the Birds,Animal Tales,Other Animals and Objects,active,The Wren and the Eagle (European),https://libraryguides.missouri.edu/c.php?g=1083510,Wren hides on eagle's back to fly highest.
222,The War Between the Birds and the Beasts,Animal Tales,Other Animals and Objects,active,The Willow-Wren and the Bear (Grimm KHM 102),https://libraryguides.missouri.edu/c.php?g=1083510,Gnat helps birds win by stinging fox/general.
223,The Lark and the Wolf,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Wolf outwitted by small bird.
224,The Wedding of the Birds,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Fable regarding bird behavior.
225,The Crane and the Fox Invite Each Other,Animal Tales,Other Animals and Objects,active,The Fox and the Stork (Aesop),https://libraryguides.missouri.edu/c.php?g=1083510,Same as 60; often cross-listed in Other Animals.
226,The Nightingale and the Blindworm,Animal Tales,Other Animals and Objects,active,The Nightingale and the Blindworm (Grimm KHM 171a),https://libraryguides.missouri.edu/c.php?g=1083510,Explains why nightingale has two eyes and blindworm none.
227,The Geese's Eternal Prayer,Animal Tales,Other Animals and Objects,active,The Fox and the Geese (Grimm KHM 86),https://sites.pitt.edu/~dash/type0227.html,"Geese persuade fox to let them pray first; they pray forever (""ga-ga"")."
228,The Titmouse and the Bear,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Small bird tricks the bear.
229,,Animal Tales,Other Animals and Objects,unassigned,,https://libraryguides.missouri.edu/c.php?g=1083510,Gap.
230,The Magpie's Nest,Animal Tales,Other Animals and Objects,active,The Magpie's Nest (Jacobs),https://libraryguides.missouri.edu/c.php?g=1083510,Other birds leave magpie's lesson early; that's why their nests are poor.
231,The Heron and the Fish,Animal Tales,Other Animals and Objects,active,,https://www.artandpopularculture.com/Aarne-Thompson,"Heron attempts to trick fish into ""safety."""
232,The Goose That Laid the Golden Eggs,Animal Tales,Other Animals and Objects,active,The Goose with the Golden Eggs (Aesop),https://libraryguides.missouri.edu/c.php?g=1083510,Owner kills bird to get all gold at once; finds nothing.
233,The Crow and the Pitcher,Animal Tales,Other Animals and Objects,active,The Crow and the Pitcher (Aesop),https://libraryguides.missouri.edu/c.php?g=1083510,Crow drops stones into water to raise level and drink.
234,The Nightingale and the Blindworm (Reclassification),Animal Tales,Other Animals and Objects,active,,https://www.artandpopularculture.com/Aarne-Thompson,Sometimes cross-listed with 226.
235,The Bird and the Hunter,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Hunter outwitted by bird's cleverness.
236*,Imitating Bird Sounds,Animal Tales,Other Animals and Objects,active,The Crumbs on the Table (Grimm KHM 190),https://www.artandpopularculture.com/Aarne-Thompson,Nonsense bird-rhyme type.
237,The Parrot and the Cat,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Parrot tricks or mimics other pets.
238,The Owl and the Birds,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Owl gives advice birds ignore.
239,The Fox and the Crane (Cross-ref),Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Duplicate of 60 in some bird indices.
240,The Lion and the Hare,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Rabbit/Hare outwits lion.
241,The Crane and the Heron,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Two birds fail to agree on a proposal.
242,The Crow and the Peacock,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Peacock mocks crow until its own beauty attracts a hunter.
243,The Parrot and His Master,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Master tests parrot's truthfulness.
244,The Raven in Borrowed Feathers,Animal Tales,Other Animals and Objects,active,The Vain Jackdaw (Aesop),https://www.artandpopularculture.com/Aarne-Thompson; https://libraryguides.missouri.edu/c.php?g=1083510,Bird tries to win beauty contest with others' feathers; exposed.
245,The Swallow and the Other Birds,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Birds fail to heed swallow's warning about flax.
246,The Hunter and the Bird (Warning),Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Bird teaches man three truths.
247,Each Mother Likes Her Own Children Best,Animal Tales,Other Animals and Objects,active,The Eagle and the Owl (European),https://sites.pitt.edu/~dash/type0247.html,"Owl describes children as beautiful; eagle eats them because they are ""ugly."""
248,The Dog and the Sparrow,Animal Tales,Other Animals and Objects,active,The Dog and the Sparrow (Grimm KHM 58),https://sites.pitt.edu/~dash/type0248.html,Sparrow takes revenge on carter who killed his dog friend.
249,,Animal Tales,Other Animals and Objects,unassigned,,https://libraryguides.missouri.edu/c.php?g=1083510,Gap.
250,The Toad and the Frog,Animal Tales,Other Animals and Objects,active,,https://libraryguides.missouri.edu/c.php?g=1083510,Contrast between the two amphibians.
